㐀,廿一,TM
㙽,土大一日,GKMA
㙾,土竹月木,GHBD
㙿,土廿土尸,GTGS
㚀,土卜廿戈,GYTI
㚁,土山土土山,GUGGU
㚂,土十月女,GJBV
㚃,土月山廿,GBUT
㚄,土月田人,GBWO
㚅,竹水一竹一,HEMHM
㚆,卜日竹水,YAHE
㚇,山金竹水,UCHE
㚈,弓戈十,NIJ
㚉,弓尸弓戈弓,NSNIN
㚊,弓弓卜女人,NNYVO
㚋,弓弓月手口,NNBQR
㚌,弓弓田木,NNWD
㚍,弓弓中一金,NNLMC
㚎,大山,KU
㚏,大廿,KT
㚐,大大,KK
㚑,尸一大,SMK
㚒,大人人,KOO
㚓,大木,KD
㚔,大廿十,KTJ
㚕,大中中弓,KLLN
㚖,竹日大,HAK
㚗,大月一,KBM
㚘,手人手人,QOQO
㚙,大口大,KRK
㚚,大弓戈口,KNIR
㚛,大心日,KPA
㚜,大戈口一,KIRM
㚝,大人土土,KOGG
㚞,大木木,KDD
㚟,弓口心心大,NRPPK
㚠,大廿土火,KTGF
㚡,大口大一口,KRKMR
㚢,人女,OV
㚣,女女,VV
㚤,女戈心,VIP
㚥,女一木,VMD
㚦,女一中,VML
㚧,女戈,VI
㚨,女弓十,VNJ
㚩,女月一一,VBMM
㚪,女竹手山,VHQU
㚫,女弓竹水,VNHE
㚬,女心戈一,VPIM
㚭,女戈大山,VIKU
㚮,女月竹弓,VBHN
㚯,女竹弓大,VHNK
㚰,女一火一,VMFM
㚱,女人一,VOM
㚲,女卜口,VYR
㚳,女大尸口,VKSR
㚴,女大中月,VKLB
㚵,女竹水卜,VHEY
㚶,女口中口,VRLR
㚷,女人火,VOF
㚸,女尸一口,VSMR
㚹,女竹竹中,VHHL
㚺,女弓尸木,VNSD
㚻,田女,WV
㚼,女田,VW
㚽,一尸女,MSV
㚾,女口竹山,VRHU
㚿,女心口山,VPRU
㛀,女弓尸一,VNSM
㛁,女一火十,VMFJ
㛂,女竹日山,VHAU
㛃,手竹女,QHV
㛄,女卜竹女,VYHV
㛅,女尸十,VSJ
㛆,女弓尸木,VNSD
㛇,女戈土,VIG
㛈,女十大尸,VJKS
㛉,女一中田,VMLW
㛊,女竹弓木,VHND
㛋,女人心,VOP
㛌,女戈竹手,VIHQ
㛍,女大人人,VKOO
㛎,女口口,VRR
㛏,女戈十水,VIJE
㛐,女一中大,VMLK
㛑,卜水女,YEV
㛒,女一口廿,VMRT
㛓,女大大月,VKKB
㛔,女竹水十,VHEJ
㛕,女口日山,VRAU
㛖,女戈金水,VICE
㛗,女人人土,VOOG
㛘,女十月木,VJBD
㛙,女卜廿十,VYTJ
㛚,女弓戈月,VNIB
㛛,女竹難竹,VHXH
㛜,人大女,OKV
㛝,女月山金,VBUC
㛞,女一土廿,VMGT
㛟,女弓月大,VNBK
㛠,女中尸日,VLSA
㛡,女十一山,VJMU
㛢,女竹木尸,VHDS
㛣,女口月人,VRBO
㛤,女一月月,VMBB
㛥,女水日,VEA
㛦,女木木,VDD
㛧,女山一口,VUMR
㛨,女廿土山,VTGU
㛩,女卜戈月,VYIB
㛪,女大中山,VKLU
㛫,女日心竹,VAPH
㛬,女土金土,VGCG
㛭,女廿日,VTA
㛮,女十火水,VJFE
㛯,女弓山尸,VNUS
㛰,女口心日,VRPA
㛱,女田一女,VWMV
㛲,女一月金,VMBC
㛳,卜月中月女,YBLBV
㛴,女女女田,VVVW
㛵,女月土月,VBGB
㛶,女山一火,VUMF
